"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S06-A09","mockhigh_106-6","Unknown",1,"PRKCB","Test",15.9690643684229,1,"Pass",0.0222468576534276,86.9138078296666,999,1,"ok","mock_high","Pass"
"S06-A10","mockhigh_106-6","Unknown",1,"DDIT4","Test",19.8891934532556,1,"Pass",0.0222468576534276,87.9358368670755,999,1,"ok","mock_high","Pass"
"S06-A11","mockhigh_106-6","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A12","mockhigh_106-6","Unknown",1,"LRP5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A13","mockhigh_106-6","Unknown",1,"ABCC5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A14","mockhigh_106-6","Unknown",1,"NFYA","Test",18.8608120603631,1,"Pass",0.0222468576534276,85.6877653709461,999,1,"ok","mock_high","Pass"
"S06-A15","mockhigh_106-6","Unknown",1,"CSK","Test",16.0423971067326,1,"Pass",0.0222468576534276,85.935609991379,999,1,"ok","mock_high","Pass"
"S06-A16","mockhigh_106-6","Unknown",1,"SCML2","Test",17.0431530534057,1,"Pass",0.0222468576534276,81.956453635883,999,1,"ok","mock_high","Pass"
"S06-A17","mockhigh_106-6","Unknown",1,"GAPDH","Test",9.72223977678305,1,"Pass",0.0222468576534276,87.6752819920022,999,1,"ok","mock_high","Pass"
"S06-A18","mockhigh_106-6","Unknown",1,"APCDD1","Test",26.7097267005228,1,"Pass",0.0222468576534276,77.9538634907148,999,1,"miss","mock_high","Fail"
"S06-A19","mockhigh_106-6","Unknown",1,"WNK1","Test",17.024524926798,1,"Pass",0.0222468576534276,83.9019375859131,999,1,"ok","mock_high","Pass"
