"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S03-A37","48hlow_103-3","Unknown",1,"CTNNB","Test",16.3894974680218,1,"Pass",0.0222468576534276,83.9173072354076,999,1,"ok","48h_low","Pass"
"S03-A38","48hlow_103-3","Unknown",1,"PTGS2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A39","48hlow_103-3","Unknown",1,"PPIA","Test",10.6258048576023,1,"Pass",0.0222468576534276,84.7297991438131,999,1,"ok","48h_low","Pass"
"S03-A40","48hlow_103-3","Unknown",1,"RELA","Test",18.3403231870096,1,"Pass",0.0222468576534276,86.0602551529541,999,1,"ok","48h_low","Pass"
"S03-A41","48hlow_103-3","Unknown",1,"SMYD3","Test",15.6410058806166,1,"Pass",0.0222468576534276,84.6310118050405,999,1,"miss","48h_low","Fail"
"S03-A42","48hlow_103-3","Unknown",1,"UGCG","Test",19.00191563185,1,"Pass",0.0222468576534276,82.7875424213289,999,1,"ok","48h_low","Pass"
"S03-A43","48hlow_103-3","Unknown",1,"LRP6","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A44","48hlow_103-3","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A45","48hlow_103-3","Unknown",1,"B2M","Test",11.1547926229008,1,"Pass",0.0222468576534276,86.1287292519531,999,1,"ok","48h_low","Pass"
"S03-A46","48hlow_103-3","Unknown",1,"MAP3K14","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A47","48hlow_103-3","Unknown",1,"SLCO3A1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S03-A48","48hlow_103-3","Unknown",1,"SP1","Test",17.1899619824191,1,"Pass",0.0222468576534276,87.2003426793745,999,1,"ok","48h_low","Pass"
"S05-A01","48hlow_105-5","Unknown",1,"ACTB","Test",24.3998139268248,0.918041027627175,"Pass",0.0222468576534276,91.244076357719,999,1,"ok","48h_low","Pass"
"S05-A02","48hlow_105-5","Unknown",1,"SP3","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A03","48hlow_105-5","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A04","48hlow_105-5","Unknown",1,"RSU1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A05","48hlow_105-5","Unknown",1,"IL8","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A06","48hlow_105-5","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A07","48hlow_105-5","Unknown",1,"ABCC4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A08","48hlow_105-5","Unknown",1,"YBX1","Test",17.6423861640429,1,"Pass",0.0222468576534276,82.4570231077284,999,1,"ok","48h_low","Pass"
"S05-A09","48hlow_105-5","Unknown",1,"PRKCB","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S05-A10","48hlow_105-5","Unknown",1,"DDIT4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A11","48hlow_105-5","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A12","48hlow_105-5","Unknown",1,"LRP5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A13","48hlow_105-5","Unknown",1,"ABCC5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A14","48hlow_105-5","Unknown",1,"NFYA","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A15","48hlow_105-5","Unknown",1,"CSK","Test",25.3779769735706,1,"Pass",0.0222468576534276,74.3642933735564,999,1,"miss","48h_low","Fail"
"S05-A16","48hlow_105-5","Unknown",1,"SCML2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A17","48hlow_105-5","Unknown",1,"GAPDH","Test",23.6894638565268,1,"Pass",0.0222468576534276,83.6821816418647,999,1,"miss","48h_low","Fail"
"S05-A18","48hlow_105-5","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A19","48hlow_105-5","Unknown",1,"WNK1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A20","48hlow_105-5","Unknown",1,"IL18","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A21","48hlow_105-5","Unknown",1,"GCLC","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A22","48hlow_105-5","Unknown",1,"MAPK1","Test",24.8961278894092,1,"Pass",0.0222468576534276,79.0565731176376,999,1,"miss","48h_low","Fail"
"S05-A23","48hlow_105-5","Unknown",1,"MYC","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A24","48hlow_105-5","Unknown",1,"OCT4","Test",20.2090995055177,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S05-A25","48hlow_105-5","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S05-A26","48hlow_105-5","Unknown",1,"MPO","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A27","48hlow_105-5","Unknown",1,"EZH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A28","48hlow_105-5","Unknown",1,"SLC7A7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A29","48hlow_105-5","Unknown",1,"BRD4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A30","48hlow_105-5","Unknown",1,"DVL2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A31","48hlow_105-5","Unknown",1,"MT2A","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A32","48hlow_105-5","Unknown",1,"NOTCH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A33","48hlow_105-5","Unknown",1,"PTK2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A34","48hlow_105-5","Unknown",1,"KRAS","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A35","48hlow_105-5","Unknown",1,"KMT2A","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A36","48hlow_105-5","Unknown",1,"DAAM1","Test",26.7725641374986,0.470006939814958,"Fail",0.0222468576534276,68.9616540725503,999,1,"miss","48h_low","Fail"
"S05-A37","48hlow_105-5","Unknown",1,"CTNNB","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A38","48hlow_105-5","Unknown",1,"PTGS2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A39","48hlow_105-5","Unknown",1,"PPIA","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A40","48hlow_105-5","Unknown",1,"RELA","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A41","48hlow_105-5","Unknown",1,"SMYD3","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A42","48hlow_105-5","Unknown",1,"UGCG","Test",23.7059054997936,1,"Pass",0.0222468576534276,81.8209320505915,999,1,"ok","48h_low","Pass"
